wheel_event,time,Tx,Ti_observed,reset,rtc_reset,device_id
0,14:03:51,0.000,0.000,1,0,eGFP1
1,14:03:51,0.050,0.390,0,0,eGFP1
2,14:03:51,0.062,0.413,0,0,eGFP1
3,14:03:52,0.051,0.435,0,0,eGFP1
4,14:03:52,0.061,0.478,0,0,eGFP1
5,14:03:53,0.138,0.709,0,0,eGFP1
6,14:03:54,0.029,1.335,0,0,eGFP1
7,14:04:33,0.028,38.448,0,0,eGFP1
8,14:04:34,0.228,0.985,0,0,eGFP1
9,14:04:35,0.171,0.906,0,0,eGFP1
10,14:04:35,0.139,0.720,0,0,eGFP1
11,14:04:36,0.117,0.797,0,0,eGFP1
12,14:04:37,0.149,0.808,0,0,eGFP1
13,14:04:38,0.127,0.797,0,0,eGFP1
14,14:04:38,0.117,0.677,0,0,eGFP1
15,14:04:41,0.116,2.256,0,0,eGFP1
16,14:04:42,0.205,0.885,0,0,eGFP1
17,14:04:42,0.129,0.798,0,0,eGFP1
18,14:04:43,0.138,0.918,0,0,eGFP1
19,14:04:44,0.127,0.709,0,0,eGFP1
20,14:04:45,0.105,0.621,0,0,eGFP1
21,14:04:45,0.116,0.709,0,0,eGFP1
22,14:04:46,0.116,0.709,0,0,eGFP1
23,14:04:47,0.105,0.610,0,0,eGFP1
24,14:04:47,0.095,0.577,0,0,eGFP1
25,14:04:48,0.118,0.799,0,0,eGFP1
26,14:04:49,0.379,1.159,0,0,eGFP1
27,14:04:50,0.204,0.862,0,0,eGFP1
28,14:04:51,0.118,0.700,0,0,eGFP1
29,14:04:51,0.105,0.632,0,0,eGFP1
30,14:04:52,0.116,0.665,0,0,eGFP1
31,14:04:53,0.127,0.819,0,0,eGFP1
32,14:04:54,0.149,0.830,0,0,eGFP1
33,14:04:54,0.116,0.654,0,0,eGFP1
34,14:04:55,0.129,0.919,0,0,eGFP1
35,14:04:56,0.138,0.676,0,0,eGFP1
36,14:04:57,0.116,0.819,0,0,eGFP1
37,14:04:57,0.116,0.676,0,0,eGFP1
38,14:05:00,0.127,2.454,0,0,eGFP1
39,14:05:01,0.105,0.621,0,0,eGFP1
40,14:05:01,0.138,0.797,0,0,eGFP1
41,14:05:02,0.138,0.698,0,0,eGFP1
42,14:05:03,0.107,0.656,0,0,eGFP1
43,14:05:03,0.106,0.589,0,0,eGFP1
44,14:05:04,0.095,0.622,0,0,eGFP1
45,14:05:05,0.105,0.654,0,0,eGFP1
46,14:05:05,0.138,0.764,0,0,eGFP1
47,14:05:06,0.116,0.665,0,0,eGFP1
48,14:05:07,0.105,0.632,0,0,eGFP1
49,14:05:08,0.117,1.181,0,0,eGFP1
50,14:05:09,0.172,0.710,0,0,eGFP1
51,14:05:09,0.085,0.545,0,0,eGFP1
52,14:05:10,0.117,0.699,0,0,eGFP1
53,14:05:10,0.116,0.676,0,0,eGFP1
54,14:05:11,0.105,0.588,0,0,eGFP1
55,14:05:12,0.095,0.600,0,0,eGFP1
56,14:05:12,0.116,0.621,0,0,eGFP1
57,14:05:13,0.106,0.863,0,0,eGFP1
58,14:05:14,0.227,0.974,0,0,eGFP1
59,14:05:15,0.096,0.545,0,0,eGFP1
60,14:05:15,0.095,0.688,0,0,eGFP1
61,14:05:16,0.193,0.873,0,0,eGFP1
62,14:05:17,0.095,0.556,0,0,eGFP1
63,14:05:17,0.095,0.577,0,0,eGFP1
64,14:05:18,0.095,0.721,0,0,eGFP1
65,14:05:19,0.116,0.588,0,0,eGFP1
66,14:05:19,0.095,0.577,0,0,eGFP1
67,14:05:20,0.128,1.083,0,0,eGFP1
68,14:05:21,0.151,0.787,0,0,eGFP1
69,14:05:22,0.117,0.720,0,0,eGFP1
70,14:05:23,0.128,0.742,0,0,eGFP1
71,14:05:48,0.128,25.807,0,0,eGFP1
72,14:05:49,0.140,1.018,0,0,eGFP1
73,14:05:50,0.161,0.797,0,0,eGFP1
74,14:05:51,0.128,0.819,0,0,eGFP1
75,14:05:52,0.172,0.929,0,0,eGFP1
76,14:05:54,1.226,1.819,0,0,eGFP1
77,14:05:56,0.095,2.202,0,0,eGFP1
78,14:05:57,0.325,1.466,0,0,eGFP1
79,14:05:58,0.139,0.720,0,0,eGFP1
80,14:06:42,0.128,43.849,0,0,eGFP1
81,14:06:43,0.171,1.488,0,0,eGFP1
82,14:06:44,0.172,0.962,0,0,eGFP1
83,14:06:45,0.204,0.918,0,0,eGFP1
84,14:06:46,0.138,0.928,0,0,eGFP1
85,14:06:47,0.118,0.799,0,0,eGFP1
86,14:06:48,0.160,0.786,0,0,eGFP1
87,14:06:49,0.118,0.744,0,0,eGFP1
88,14:06:49,0.116,0.610,0,0,eGFP1
89,14:06:50,0.095,0.589,0,0,eGFP1
90,14:06:50,0.094,0.599,0,0,eGFP1
91,14:06:51,0.095,0.589,0,0,eGFP1
92,14:06:52,0.106,0.632,0,0,eGFP1
93,14:06:52,0.106,0.611,0,0,eGFP1
94,14:06:53,0.104,0.906,0,0,eGFP1
95,14:06:54,0.204,0.873,0,0,eGFP1
96,14:06:55,0.128,1.500,0,0,eGFP1
97,14:06:56,0.150,0.742,0,0,eGFP1
98,14:06:57,0.117,0.644,0,0,eGFP1
99,14:06:58,0.105,0.643,0,0,eGFP1
100,14:06:58,0.106,0.677,0,0,eGFP1
101,14:06:59,0.129,0.699,0,0,eGFP1
102,14:07:00,0.118,0.689,0,0,eGFP1
103,14:07:00,0.106,0.556,0,0,eGFP1
104,14:07:01,0.084,0.501,0,0,eGFP1
105,14:07:01,0.084,0.501,0,0,eGFP1
106,14:07:02,0.083,0.522,0,0,eGFP1
107,14:07:02,0.084,0.567,0,0,eGFP1
108,14:07:03,0.128,0.819,0,0,eGFP1
109,14:07:04,0.117,0.655,0,0,eGFP1
110,14:07:04,0.140,0.754,0,0,eGFP1
111,14:07:14,0.128,9.785,0,0,eGFP1
112,14:07:16,0.139,1.730,0,0,eGFP1
113,14:07:17,0.183,0.732,0,0,eGFP1
114,14:07:17,0.105,0.786,0,0,eGFP1
115,14:07:18,0.128,0.709,0,0,eGFP1
116,14:07:19,0.118,0.744,0,0,eGFP1
117,14:07:20,0.117,0.611,0,0,eGFP1
118,14:07:20,0.105,0.632,0,0,eGFP1
119,14:07:21,0.096,0.568,0,0,eGFP1
120,14:07:21,0.106,0.655,0,0,eGFP1
121,14:07:22,0.139,0.731,0,0,eGFP1
122,14:07:23,0.106,0.578,0,0,eGFP1
123,14:07:23,0.095,0.556,0,0,eGFP1
124,14:07:24,0.095,0.665,0,0,eGFP1
125,14:07:25,0.161,0.798,0,0,eGFP1
126,14:07:25,0.095,0.544,0,0,eGFP1
127,14:07:26,0.097,0.645,0,0,eGFP1
128,14:07:27,0.139,1.379,0,0,eGFP1
129,14:07:28,0.117,0.589,0,0,eGFP1
130,14:07:28,0.085,0.590,0,0,eGFP1
131,14:07:29,0.128,0.699,0,0,eGFP1
132,14:07:30,0.106,0.545,0,0,eGFP1
133,14:07:30,0.084,0.566,0,0,eGFP1
134,14:07:31,0.128,0.787,0,0,eGFP1
135,14:07:32,0.095,0.589,0,0,eGFP1
136,14:07:32,0.096,0.579,0,0,eGFP1
137,14:07:34,0.117,1.631,0,0,eGFP1
138,14:07:35,0.128,0.666,0,0,eGFP1
139,14:07:35,0.095,0.588,0,0,eGFP1
140,14:07:36,0.095,0.578,0,0,eGFP1
141,14:07:36,0.095,0.556,0,0,eGFP1
142,14:07:37,0.095,0.600,0,0,eGFP1
143,14:07:38,0.117,0.633,0,0,eGFP1
144,14:07:42,0.097,4.706,0,0,eGFP1
145,14:07:44,0.666,1.368,0,0,eGFP1
146,14:07:44,0.117,0.655,0,0,eGFP1
147,14:07:45,0.106,0.578,0,0,eGFP1
148,14:07:47,0.095,2.498,0,0,eGFP1
149,14:07:56,8.106,9.138,0,0,eGFP1
150,14:07:57,0.226,0.874,0,0,eGFP1
151,14:07:58,0.128,0.688,0,0,eGFP1
152,14:07:59,0.107,0.623,0,0,eGFP1
153,14:07:59,0.106,0.567,0,0,eGFP1
154,14:08:00,0.095,0.588,0,0,eGFP1
155,14:08:00,0.095,0.567,0,0,eGFP1
156,14:08:01,0.095,0.567,0,0,eGFP1
157,14:08:02,0.117,1.193,0,0,eGFP1
158,14:08:03,0.107,0.546,0,0,eGFP1
159,14:08:03,0.095,0.611,0,0,eGFP1
160,14:08:05,0.139,1.445,0,0,eGFP1
161,14:08:06,0.140,0.853,0,0,eGFP1
162,14:08:06,0.107,0.556,0,0,eGFP1
163,14:08:07,0.096,0.699,0,0,eGFP1
164,14:08:09,0.721,1.686,0,0,eGFP1
165,14:08:09,0.172,0.941,0,0,eGFP1
166,14:08:11,0.160,1.313,0,0,eGFP1
167,14:08:12,0.292,1.028,0,0,eGFP1
168,14:08:12,0.095,0.599,0,0,eGFP1
169,14:08:13,0.108,0.602,0,0,eGFP1
170,14:08:14,0.106,0.611,0,0,eGFP1
171,14:08:14,0.095,0.545,0,0,eGFP1
172,14:08:15,0.095,0.611,0,0,eGFP1
173,14:08:16,0.136,1.211,0,0,eGFP1
174,14:08:17,0.172,0.710,0,0,eGFP1
175,14:08:18,0.106,0.995,0,0,eGFP1
176,14:08:18,0.128,0.699,0,0,eGFP1
177,14:08:19,0.106,0.578,0,0,eGFP1
178,14:08:20,0.107,0.766,0,0,eGFP1
179,14:08:28,0.709,8.029,0,0,eGFP1
180,14:08:28,0.117,0.677,0,0,eGFP1
181,14:08:29,0.106,0.621,0,0,eGFP1
182,14:08:30,0.107,0.754,0,0,eGFP1
183,14:08:31,0.490,1.193,0,0,eGFP1
184,14:08:32,0.095,0.578,0,0,eGFP1
185,14:08:32,0.095,0.567,0,0,eGFP1
186,14:08:33,0.085,0.524,0,0,eGFP1
187,14:08:33,0.086,0.503,0,0,eGFP1
188,14:08:34,0.084,0.490,0,0,eGFP1
189,14:08:35,0.106,1.324,0,0,eGFP1
190,14:08:36,0.117,0.611,0,0,eGFP1
191,14:08:36,0.106,0.644,0,0,eGFP1
192,14:08:37,0.095,0.545,0,0,eGFP1
193,14:08:37,0.084,0.545,0,0,eGFP1
194,14:08:38,0.086,0.525,0,0,eGFP1
195,14:08:38,0.073,0.446,0,0,eGFP1
196,14:08:39,0.073,0.446,0,0,eGFP1
197,14:08:39,0.074,0.458,0,0,eGFP1
198,14:08:40,0.073,0.512,0,0,eGFP1
199,14:08:41,0.106,0.907,0,0,eGFP1
200,14:08:41,0.183,0.820,0,0,eGFP1
201,14:08:42,0.096,0.535,0,0,eGFP1
202,14:08:43,0.085,0.535,0,0,eGFP1
203,14:08:43,0.096,0.579,0,0,eGFP1
204,14:08:44,0.095,0.545,0,0,eGFP1
205,14:08:44,0.095,0.655,0,0,eGFP1
206,14:08:45,0.128,0.688,0,0,eGFP1
207,14:08:46,0.150,0.863,0,0,eGFP1
208,14:08:46,0.107,0.534,0,0,eGFP1
209,14:08:47,0.085,0.633,0,0,eGFP1
210,14:08:48,0.140,0.765,0,0,eGFP1
211,14:08:48,0.130,0.678,0,0,eGFP1
212,14:08:49,0.096,0.568,0,0,eGFP1
213,14:08:52,0.106,2.882,0,0,eGFP1
214,14:08:53,0.172,0.699,0,0,eGFP1
215,14:08:53,0.097,0.601,0,0,eGFP1
216,14:08:54,0.107,0.579,0,0,eGFP1
217,14:08:54,0.095,0.523,0,0,eGFP1
218,14:08:55,0.084,0.446,0,0,eGFP1
219,14:08:55,0.074,0.403,0,0,eGFP1
220,14:08:56,0.072,0.412,0,0,eGFP1
221,14:08:56,0.073,0.490,0,0,eGFP1
222,14:08:57,0.096,0.568,0,0,eGFP1
223,14:08:57,0.095,0.501,0,0,eGFP1
224,14:08:58,0.084,0.479,0,0,eGFP1
225,14:08:58,0.085,0.513,0,0,eGFP1
226,14:08:59,0.106,0.655,0,0,eGFP1
227,14:08:59,0.095,0.534,0,0,eGFP1
228,14:09:00,0.075,0.437,0,0,eGFP1
229,14:09:00,0.075,0.514,0,0,eGFP1
230,14:09:01,0.106,0.567,0,0,eGFP1
231,14:09:01,0.084,0.512,0,0,eGFP1
232,14:09:02,0.073,0.447,0,0,eGFP1
233,14:09:02,0.085,0.568,0,0,eGFP1
234,14:09:03,0.106,0.622,0,0,eGFP1
235,14:09:04,0.096,0.567,0,0,eGFP1
236,14:09:04,0.086,0.536,0,0,eGFP1
237,14:09:05,0.106,0.688,0,0,eGFP1
238,14:09:06,0.359,1.456,0,0,eGFP1
