wheel_event,time,Tx,Ti_observed,reset,rtc_reset,device_id
0,18:06:02,0.000,0.000,1,0,eGFP2
1,18:06:02,0.028,0.039,0,0,eGFP2
2,18:06:03,0.028,0.160,0,0,eGFP2
3,18:06:03,0.028,0.105,0,0,eGFP2
4,18:06:03,0.028,0.116,0,0,eGFP2
5,18:06:03,0.050,0.072,0,0,eGFP2
6,18:06:03,0.050,0.083,0,0,eGFP2
7,18:06:03,0.028,0.105,0,0,eGFP2
8,18:06:03,0.041,0.063,0,0,eGFP2
9,18:06:03,0.028,0.039,0,0,eGFP2
10,18:06:03,0.094,0.138,0,0,eGFP2
11,18:06:03,0.149,0.171,0,0,eGFP2
12,18:06:04,0.051,0.062,0,0,eGFP2
13,18:06:04,0.083,0.094,0,0,eGFP2
14,18:06:04,0.107,0.140,0,0,eGFP2
15,18:06:05,0.500,0.851,0,0,eGFP2
16,18:06:05,0.073,0.446,0,0,eGFP2
17,18:06:06,0.074,0.480,0,0,eGFP2
18,18:06:06,0.083,0.555,0,0,eGFP2
19,19:28:07,0.105,4921.462,0,0,eGFP2
20,19:28:55,0.029,47.294,0,0,eGFP2
21,19:29:41,0.028,46.701,0,0,eGFP2
22,19:30:36,0.029,54.416,0,0,eGFP2
23,19:30:36,0.028,0.336,0,0,eGFP2
24,19:30:37,0.028,0.610,0,0,eGFP2
25,19:30:38,0.030,1.007,0,0,eGFP2
26,19:30:40,0.028,2.421,0,0,eGFP2
27,19:30:40,0.028,0.204,0,0,eGFP2
28,19:30:41,0.030,0.502,0,0,eGFP2
29,19:30:41,0.029,0.051,0,0,eGFP2
30,19:30:41,0.028,0.445,0,0,eGFP2
31,19:30:41,0.029,0.040,0,0,eGFP2
32,19:30:42,0.029,0.951,0,0,eGFP2
33,19:30:42,0.028,0.061,0,0,eGFP2
34,19:30:49,0.031,6.626,0,0,eGFP2
35,19:30:51,0.029,2.202,0,0,eGFP2
36,19:30:52,0.028,0.797,0,0,eGFP2
37,19:30:52,0.028,0.050,0,0,eGFP2
38,19:30:55,0.029,2.729,0,0,eGFP2
39,19:30:55,0.028,0.478,0,0,eGFP2
40,19:30:58,0.040,2.696,0,0,eGFP2
41,19:30:59,0.029,0.720,0,0,eGFP2
42,19:31:01,0.030,1.874,0,0,eGFP2
43,19:31:02,0.031,0.985,0,0,eGFP2
44,19:31:02,0.029,0.721,0,0,eGFP2
45,19:31:03,0.028,0.698,0,0,eGFP2
46,19:31:03,0.029,0.413,0,0,eGFP2
47,19:31:07,0.029,3.562,0,0,eGFP2
48,19:31:07,0.029,0.238,0,0,eGFP2
49,19:31:08,0.029,0.402,0,0,eGFP2
50,19:31:08,0.029,0.402,0,0,eGFP2
51,19:31:10,0.030,1.929,0,0,eGFP2
52,19:31:14,0.029,3.947,0,0,eGFP2
53,19:31:15,0.028,1.137,0,0,eGFP2
54,19:31:15,0.029,0.270,0,0,eGFP2
55,19:31:22,0.029,7.151,0,0,eGFP2
56,19:31:22,0.040,0.051,0,0,eGFP2
57,19:31:23,0.031,0.360,0,0,eGFP2
58,19:31:23,0.029,0.446,0,0,eGFP2
59,19:31:27,0.037,3.318,0,0,eGFP2
60,19:31:31,0.028,4.132,0,0,eGFP2
61,19:31:31,0.029,0.555,0,0,eGFP2
62,19:31:32,0.029,0.676,0,0,eGFP2
63,19:31:32,0.028,0.303,0,0,eGFP2
64,19:31:32,0.028,0.215,0,0,eGFP2
65,19:31:33,0.039,0.939,0,0,eGFP2
66,19:31:34,0.028,0.346,0,0,eGFP2
67,19:31:35,0.029,0.950,0,0,eGFP2
68,19:31:35,0.030,0.052,0,0,eGFP2
69,19:31:35,0.029,0.533,0,0,eGFP2
70,19:31:36,0.106,0.654,0,0,eGFP2
71,19:31:36,0.040,0.083,0,0,eGFP2
72,19:31:36,0.030,0.425,0,0,eGFP2
73,19:31:37,0.062,0.512,0,0,eGFP2
74,19:31:37,0.028,0.182,0,0,eGFP2
75,19:31:37,0.028,0.039,0,0,eGFP2
76,19:31:38,0.041,0.601,0,0,eGFP2
77,19:31:38,0.028,0.039,0,0,eGFP2
78,19:31:38,0.040,0.522,0,0,eGFP2
79,19:31:38,0.029,0.106,0,0,eGFP2
80,19:31:39,0.028,0.599,0,0,eGFP2
81,19:31:39,0.028,0.050,0,0,eGFP2
82,19:31:40,0.073,0.479,0,0,eGFP2
83,19:31:41,0.061,1.170,0,0,eGFP2
84,19:31:41,0.050,0.083,0,0,eGFP2
85,19:31:41,0.030,0.184,0,0,eGFP2
86,19:31:43,0.028,2.399,0,0,eGFP2
87,19:31:44,0.030,0.502,0,0,eGFP2
88,19:31:44,0.028,0.050,0,0,eGFP2
89,19:31:44,0.029,0.446,0,0,eGFP2
90,19:31:45,0.028,0.467,0,0,eGFP2
91,19:31:45,0.029,0.193,0,0,eGFP2
92,19:31:45,0.029,0.051,0,0,eGFP2
93,19:31:46,0.029,0.918,0,0,eGFP2
94,19:31:47,0.060,0.861,0,0,eGFP2
95,19:31:47,0.028,0.226,0,0,eGFP2
96,19:31:47,0.028,0.237,0,0,eGFP2
97,19:31:48,0.029,0.281,0,0,eGFP2
98,19:31:48,0.029,0.424,0,0,eGFP2
99,19:31:49,0.127,0.654,0,0,eGFP2
100,19:31:49,0.106,0.457,0,0,eGFP2
101,19:31:49,0.030,0.063,0,0,eGFP2
102,19:31:50,0.074,0.590,0,0,eGFP2
103,19:31:50,0.029,0.040,0,0,eGFP2
104,19:31:50,0.039,0.050,0,0,eGFP2
105,19:31:53,0.029,2.850,0,0,eGFP2
106,19:31:53,0.028,0.423,0,0,eGFP2
