events,time,date,date-time,reset,rtc_reset,device_id,stream,
1,4:35 PM,04-21-2026,04-21-2026 16:35:43,1,0,eGFP3,WHEEL,
2,4:35 PM,04-21-2026,04-21-2026 16:35:43,0,0,eGFP3,WHEEL,
3,4:35 PM,04-21-2026,04-21-2026 16:35:44,0,0,eGFP3,WHEEL,
4,4:35 PM,04-21-2026,04-21-2026 16:35:54,0,0,eGFP3,WHEEL,
5,4:35 PM,04-21-2026,04-21-2026 16:35:54,0,0,eGFP3,WHEEL,
6,4:36 PM,04-21-2026,04-21-2026 16:36:43,0,0,eGFP3,WHEEL,
7,4:36 PM,04-21-2026,04-21-2026 16:36:51,0,0,eGFP3,WHEEL,
8,4:36 PM,04-21-2026,04-21-2026 16:36:54,0,0,eGFP3,WHEEL,
9,4:36 PM,04-21-2026,04-21-2026 16:36:55,0,0,eGFP3,WHEEL,
10,4:36 PM,04-21-2026,04-21-2026 16:36:59,0,0,eGFP3,WHEEL,
11,4:37 PM,04-21-2026,04-21-2026 16:37:02,0,0,eGFP3,WHEEL,
12,4:37 PM,04-21-2026,04-21-2026 16:37:38,0,0,eGFP3,WHEEL,
13,4:37 PM,04-21-2026,04-21-2026 16:37:39,0,0,eGFP3,WHEEL,
14,4:38 PM,04-21-2026,04-21-2026 16:38:51,0,0,eGFP3,WHEEL,
15,4:38 PM,04-21-2026,04-21-2026 16:38:52,0,0,eGFP3,WHEEL,
16,4:38 PM,04-21-2026,04-21-2026 16:38:54,0,0,eGFP3,WHEEL,
17,4:38 PM,04-21-2026,04-21-2026 16:38:55,0,0,eGFP3,WHEEL,
18,4:38 PM,04-21-2026,04-21-2026 16:38:56,0,0,eGFP3,WHEEL,
19,4:38 PM,04-21-2026,04-21-2026 16:38:57,0,0,eGFP3,WHEEL,
20,4:39 PM,04-21-2026,04-21-2026 16:39:28,0,0,eGFP3,WHEEL,
21,4:39 PM,04-21-2026,04-21-2026 16:39:31,0,0,eGFP3,WHEEL,
22,4:40 PM,04-21-2026,04-21-2026 16:40:44,0,0,eGFP3,WHEEL,
23,4:40 PM,04-21-2026,04-21-2026 16:40:45,0,0,eGFP3,WHEEL,
24,4:40 PM,04-21-2026,04-21-2026 16:40:46,0,0,eGFP3,WHEEL,
25,4:40 PM,04-21-2026,04-21-2026 16:40:47,0,0,eGFP3,WHEEL,
26,4:40 PM,04-21-2026,04-21-2026 16:40:48,0,0,eGFP3,WHEEL,
27,4:40 PM,04-21-2026,04-21-2026 16:40:49,0,0,eGFP3,WHEEL,
28,4:40 PM,04-21-2026,04-21-2026 16:40:50,0,0,eGFP3,WHEEL,
29,4:40 PM,04-21-2026,04-21-2026 16:40:55,0,0,eGFP3,WHEEL,
30,4:41 PM,04-21-2026,04-21-2026 16:41:00,0,0,eGFP3,WHEEL,
31,4:41 PM,04-21-2026,04-21-2026 16:41:02,0,0,eGFP3,WHEEL,
32,4:41 PM,04-21-2026,04-21-2026 16:41:02,0,0,eGFP3,WHEEL,
33,4:42 PM,04-21-2026,04-21-2026 16:42:00,0,0,eGFP3,WHEEL,
34,4:42 PM,04-21-2026,04-21-2026 16:42:25,0,0,eGFP3,WHEEL,
35,4:42 PM,04-21-2026,04-21-2026 16:42:26,0,0,eGFP3,WHEEL,
36,4:42 PM,04-21-2026,04-21-2026 16:42:27,0,0,eGFP3,WHEEL,
37,4:42 PM,04-21-2026,04-21-2026 16:42:28,0,0,eGFP3,WHEEL,
38,4:42 PM,04-21-2026,04-21-2026 16:42:29,0,0,eGFP3,WHEEL,
39,4:42 PM,04-21-2026,04-21-2026 16:42:30,0,0,eGFP3,WHEEL,
40,4:42 PM,04-21-2026,04-21-2026 16:42:31,0,0,eGFP3,WHEEL,
41,4:42 PM,04-21-2026,04-21-2026 16:42:32,0,0,eGFP3,WHEEL,
42,4:42 PM,04-21-2026,04-21-2026 16:42:33,0,0,eGFP3,WHEEL,
43,4:42 PM,04-21-2026,04-21-2026 16:42:34,0,0,eGFP3,WHEEL,
44,4:42 PM,04-21-2026,04-21-2026 16:42:35,0,0,eGFP3,WHEEL,
45,4:42 PM,04-21-2026,04-21-2026 16:42:36,0,0,eGFP3,WHEEL,
46,4:42 PM,04-21-2026,04-21-2026 16:42:37,0,0,eGFP3,WHEEL,
47,4:42 PM,04-21-2026,04-21-2026 16:42:37,0,0,eGFP3,WHEEL,
48,4:42 PM,04-21-2026,04-21-2026 16:42:38,0,0,eGFP3,WHEEL,
49,4:42 PM,04-21-2026,04-21-2026 16:42:39,0,0,eGFP3,WHEEL,
