wheel_event,time,Tx,Ti_observed,reset,rtc_reset,device_id
1,05:16:37,0.415,19430.555,0,0,eGFP3
2,12:19:18,0.366,25364.871,0,0,eGFP3
3,12:19:49,0.384,31.019,0,0,eGFP3
4,12:19:52,0.162,2.500,0,0,eGFP3
5,12:19:54,0.163,2.248,0,0,eGFP3
6,12:19:56,0.174,2.270,0,0,eGFP3
7,12:19:58,0.147,1.892,0,0,eGFP3
8,12:20:02,0.151,3.323,0,0,eGFP3
9,12:20:07,0.349,5.332,0,0,eGFP3
10,12:20:16,4.486,9.151,0,0,eGFP3
11,12:20:18,0.263,1.832,0,0,eGFP3
12,12:20:21,0.744,3.400,0,0,eGFP3
13,12:20:26,1.007,5.090,0,0,eGFP3
14,12:20:45,6.816,18.516,0,0,eGFP3
15,12:21:00,0.327,14.947,0,0,eGFP3
16,12:21:03,0.206,2.786,0,0,eGFP3
17,12:21:04,0.173,1.655,0,0,eGFP3
18,12:21:06,0.173,1.501,0,0,eGFP3
19,12:21:07,0.206,1.490,0,0,eGFP3
20,12:21:11,0.131,3.182,0,0,eGFP3
21,12:21:12,0.118,1.359,0,0,eGFP3
22,12:21:15,0.327,3.125,0,0,eGFP3
23,12:21:17,0.119,1.743,0,0,eGFP3
24,12:21:18,0.228,1.238,0,0,eGFP3
25,12:21:20,0.634,1.710,0,0,eGFP3
26,12:21:22,0.568,1.820,0,0,eGFP3
27,12:21:31,0.469,9.020,0,0,eGFP3
28,12:21:33,0.229,2.501,0,0,eGFP3
29,12:21:34,0.175,1.295,0,0,eGFP3
30,12:21:36,0.107,1.831,0,0,eGFP3
31,12:21:37,0.349,1.314,0,0,eGFP3
32,12:21:38,0.437,0.766,0,0,eGFP3
33,12:21:39,0.229,1.162,0,0,eGFP3
34,12:21:42,0.129,2.214,0,0,eGFP3
35,12:21:43,0.097,1.184,0,0,eGFP3
36,12:21:46,0.098,2.776,0,0,eGFP3
37,12:21:47,0.097,0.997,0,0,eGFP3
38,12:21:48,0.140,1.611,0,0,eGFP3
39,12:21:49,0.151,1.095,0,0,eGFP3
40,12:21:51,0.119,1.491,0,0,eGFP3
41,12:21:52,0.085,1.501,0,0,eGFP3
42,12:21:54,0.086,1.414,0,0,eGFP3
43,12:21:55,0.086,1.523,0,0,eGFP3
44,12:21:56,0.122,0.946,0,0,eGFP3
45,12:23:01,0.085,65.097,0,0,eGFP3
46,12:23:03,0.119,1.271,0,0,eGFP3
47,12:23:06,0.141,3.061,0,0,eGFP3
48,12:23:07,0.184,1.402,0,0,eGFP3
49,12:23:08,0.097,1.294,0,0,eGFP3
50,12:23:09,0.107,1.172,0,0,eGFP3
51,12:23:11,0.162,1.304,0,0,eGFP3
52,12:23:13,0.087,2.063,0,0,eGFP3
53,12:23:14,0.086,1.183,0,0,eGFP3
54,12:23:15,0.097,1.338,0,0,eGFP3
55,12:23:17,0.126,1.564,0,0,eGFP3
56,12:23:18,0.173,0.985,0,0,eGFP3
57,12:23:20,0.097,1.984,0,0,eGFP3
58,12:23:21,0.307,1.514,0,0,eGFP3
59,12:23:23,0.107,1.962,0,0,eGFP3
60,12:23:31,0.164,7.463,0,0,eGFP3
61,12:23:32,0.140,1.391,0,0,eGFP3
62,12:23:33,0.096,1.128,0,0,eGFP3
63,12:23:34,0.085,0.843,0,0,eGFP3
64,12:23:35,0.085,1.183,0,0,eGFP3
65,12:23:36,0.129,1.018,0,0,eGFP3
66,12:23:38,0.107,1.270,0,0,eGFP3
67,12:23:39,0.086,1.260,0,0,eGFP3
68,12:23:44,0.098,4.664,0,0,eGFP3
69,12:23:47,0.086,3.423,0,0,eGFP3
70,12:23:48,0.085,1.062,0,0,eGFP3
71,12:23:50,0.173,1.490,0,0,eGFP3
72,12:23:51,0.459,1.677,0,0,eGFP3
73,12:23:53,0.120,1.799,0,0,eGFP3
74,12:23:54,0.118,0.689,0,0,eGFP3
75,12:23:55,0.415,1.381,0,0,eGFP3
76,12:23:56,0.076,1.371,0,0,eGFP3
77,12:23:58,0.096,1.644,0,0,eGFP3
78,12:23:59,0.074,0.963,0,0,eGFP3
79,12:24:00,0.119,1.008,0,0,eGFP3
80,12:24:01,0.063,1.062,0,0,eGFP3
81,12:24:02,0.097,1.304,0,0,eGFP3
82,12:24:03,0.118,0.941,0,0,eGFP3
83,12:24:04,0.086,1.063,0,0,eGFP3
84,12:24:05,0.096,1.029,0,0,eGFP3
85,12:24:07,0.098,1.097,0,0,eGFP3
86,12:24:08,0.195,1.425,0,0,eGFP3
87,12:24:22,0.085,14.420,0,0,eGFP3
88,12:24:23,0.084,0.886,0,0,eGFP3
89,12:24:24,0.085,1.040,0,0,eGFP3
90,12:24:25,0.064,0.854,0,0,eGFP3
91,12:24:26,0.075,1.227,0,0,eGFP3
92,12:24:27,0.075,0.920,0,0,eGFP3
93,12:24:29,0.087,1.415,0,0,eGFP3
94,12:24:30,0.075,1.337,0,0,eGFP3
95,12:24:31,0.108,0.843,0,0,eGFP3
96,12:24:32,0.129,1.238,0,0,eGFP3
97,12:24:33,0.075,1.019,0,0,eGFP3
98,12:24:34,0.118,0.821,0,0,eGFP3
99,12:24:37,0.074,2.665,0,0,eGFP3
100,12:24:38,0.129,0.832,0,0,eGFP3
101,12:24:39,0.087,1.119,0,0,eGFP3
102,12:24:40,0.109,0.943,0,0,eGFP3
103,12:24:42,0.097,2.578,0,0,eGFP3
104,12:24:43,0.107,1.249,0,0,eGFP3
105,12:24:46,0.097,2.456,0,0,eGFP3
106,12:24:47,0.086,0.986,0,0,eGFP3
107,12:24:49,0.755,1.809,0,0,eGFP3
108,12:24:50,0.119,0.997,0,0,eGFP3
109,12:24:50,0.098,0.713,0,0,eGFP3
110,12:24:52,0.503,1.546,0,0,eGFP3
111,12:24:54,0.107,2.390,0,0,eGFP3
112,12:24:55,0.075,0.767,0,0,eGFP3
113,12:24:56,0.064,0.920,0,0,eGFP3
114,12:24:57,0.075,0.931,0,0,eGFP3
115,12:24:59,0.064,1.842,0,0,eGFP3
116,12:24:59,0.065,0.702,0,0,eGFP3
117,12:25:01,0.077,1.108,0,0,eGFP3
118,12:25:01,0.070,0.783,0,0,eGFP3
119,12:25:10,0.075,8.647,0,0,eGFP3
120,12:25:15,0.096,4.893,0,0,eGFP3
121,12:25:16,0.074,1.105,0,0,eGFP3
122,12:25:17,0.075,0.887,0,0,eGFP3
123,12:25:23,0.733,6.429,0,0,eGFP3
124,12:25:25,0.217,1.282,0,0,eGFP3
125,12:25:26,0.207,1.096,0,0,eGFP3
126,12:25:26,0.096,0.634,0,0,eGFP3
127,12:25:28,0.217,1.721,0,0,eGFP3
128,12:25:34,0.886,5.529,0,0,eGFP3
129,12:25:44,0.360,10.579,0,0,eGFP3
